"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","23328","functionality of links","Mobile-iPhone14","2026-03-30","failed","2026-03-30","URL: /pt/pt/produtos/isolamento-termico/placas-de-isolamento-tectos-falsos/poliuretanos-pur-ps stage only Health Check > lang: pt-pt","stageHealth/stageHealth.spec.js","",""
"","35","seo compare","Desktop-1200-Chrome","2026-03-30","failed","2026-03-30","URL: /pt/pt/produtos/isolamento-tecnico/condutas-pre-isoladas > lang: pt-pt","migrationCompare/migrationCompare.spec.js","",""
"","39792","functionality of links","Desktop-1920-Chrome","2026-03-30","failed","2026-03-30","URL: /pt/pt/produtos/isolamento-termico/placas-de-isolamento-para-paredes/kooltherm-k5 stage only Health Check > lang: pt-pt","stageHealth/stageHealth.spec.js","",""
"","824","visual compare","Desktop-1920-Chrome","2026-03-30","failed","2026-03-30","URL: /pt/pt/produtos/isolamento-termico/placas-de-isolamento-para-coberturas/therma-tt47 > lang: pt-pt","migrationCompare/migrationCompare.spec.js","",""
"","7232","functionality of links","Mobile-iPhone14","2026-03-30","failed","2026-03-30","URL: /fr/fr/divisions/kingspaninsulation/kooltherm stage only Health Check > lang: fr-fr","","",""
"","27258","functionality of links","Mobile-iPhone14","2026-03-30","failed","2026-03-30","URL: /pt/pt/produtos/isolamento-termico/placas-de-isolamento-para-paredes/kooltherm-k5 stage only Health Check > lang: pt-pt","stageHealth/stageHealth.spec.js","",""
"","33","seo compare","Desktop-1920-Chrome","2026-03-29","failed","2026-03-29","URL: /fr/fr/produits/protection-passive-contre-lincendie/coupe-feu/mortier-coupe-feu-compund-k-stop > lang: fr-fr","","",""
"","4114","visual compare","Mobile-iPhone14","2026-03-30","failed","2026-03-30","URL: /pt/pt/pagina-em-construcao > lang: pt-pt","migrationCompare/migrationCompare.spec.js","",""
"","453","visual compare","Tablet-768-Chrome","2026-03-29","failed","2026-03-29","URL: /fr/fr/divisions/kingspaninsulation/u-value-calculator-engagements-de-kingspan-direct-marketing > lang: fr-fr","","",""
"","3","visual compare","Desktop-1920-Chrome","2026-03-29","skipped","2026-03-29","URL: /fr/articles-de-connaissance/comment-reduire-nos-dechets-et-tendre-vers-le-zero-dechet > lang: fr-articles-de-connaissance","","",""
"","49","seo compare","Desktop-1920-Chrome","2026-03-30","failed","2026-03-30","URL: /pt/pt/produtos/isolamento-termico/placas-de-isolamento-tectos-falsos/poliuretanos-pur-al > lang: pt-pt","migrationCompare/migrationCompare.spec.js","",""
"","38","seo compare","Desktop-1200-Chrome","2026-03-30","failed","2026-03-30","URL: /pt/pt/produtos/isolamento-termico/placas-de-isolamento-tectos-falsos/poliuretanos-pir-gr > lang: pt-pt","migrationCompare/migrationCompare.spec.js","",""
"","44","seo compare","Desktop-1920-Chrome","2026-03-30","failed","2026-03-30","URL: /pt/pt/produtos/isolamento-tecnico/condutas-pre-isoladas/preisoladas-pir-alu-35 > lang: pt-pt","migrationCompare/migrationCompare.spec.js","",""
"","66","seo compare","Mobile-iPhone14","2026-03-30","failed","2026-03-30","URL: /fr/fr/divisions/kingspaninsulation/u-value-calculator-modalites-et-conditions-generales-dutilisation-du-site-internet > lang: fr-fr","","",""
"","5123","visual compare","Mobile-iPhone14","2026-03-30","failed","2026-03-30","URL: /fr/fr/articles-de-connaissance/des-connaissances-actuelles-et-actualisees-avec-le-kingspan-college > lang: fr-fr","","",""
"","394","visual compare","Tablet-768-Chrome","2026-03-30","failed","2026-03-30","URL: /pt/pt/produtos/isolamento-tecnico > lang: pt-pt","migrationCompare/migrationCompare.spec.js","",""
"","7934","functionality of links","Desktop-1920-Chrome","2026-03-29","failed","2026-03-29","URL: /fr/fr/a-propos-de-nous/CentredeDurabilte stage only Health Check > lang: fr-fr","","",""
"","469","visual compare","Desktop-1200-Chrome","2026-03-30","failed","2026-03-30","URL: /pt/pt/produtos/isolamento-termico/placas-de-isolamento-para-pavimentos > lang: pt-pt","migrationCompare/migrationCompare.spec.js","",""
"","4081","visual compare","Mobile-iPhone14","2026-03-30","failed","2026-03-30","URL: /fr/fr/produits/protection-passive-contre-lincendie/coupe-feu/mortier-coupe-feu-compund-k-stop > lang: fr-fr","","",""
"","12639","functionality of links","Tablet-768-Chrome","2026-03-30","failed","2026-03-30","URL: /pt/pt/pagina-em-construcao stage only Health Check > lang: pt-pt","stageHealth/stageHealth.spec.js","",""
"","38","seo compare","Desktop-1920-Chrome","2026-03-30","failed","2026-03-30","URL: /pt/pt/produtos/isolamento-termico/placas-de-isolamento-para-pavimentos/optim-r > lang: pt-pt","migrationCompare/migrationCompare.spec.js","",""
"","26478","functionality of links","Mobile-iPhone14","2026-03-30","failed","2026-03-30","URL: /pt/pt/produtos/isolamento-termico/placas-de-isolamento-tectos-falsos/kooltherm-k10 stage only Health Check > lang: pt-pt","stageHealth/stageHealth.spec.js","",""
"","0","functionality of links","Tablet-768-Chrome","2026-03-29","skipped","2026-03-29","URL: /gb/en/contact-us/kingspan-insulation stage only Health Check > lang: gb-en","","",""
"","24641","functionality of links","Tablet-768-Chrome","2026-03-30","failed","2026-03-30","URL: /pt/pt/produtos/isolamento-termico/placas-de-isolamento-tectos-falsos/poliuretanos-pur-al stage only Health Check > lang: pt-pt","stageHealth/stageHealth.spec.js","",""
"","1904","visual compare","Desktop-1920-Chrome","2026-03-30","failed","2026-03-30","URL: /pt/pt/pagina-em-construcao > lang: pt-pt","migrationCompare/migrationCompare.spec.js","",""
"","14065","functionality of links","Tablet-768-Chrome","2026-03-30","failed","2026-03-30","URL: /pt/pt/sobre-nos/hubsostenibilidade/carbonoincorporado stage only Health Check > lang: pt-pt","stageHealth/stageHealth.spec.js","",""
"","64","seo compare","Tablet-768-Chrome","2026-03-29","failed","2026-03-29","URL: /fr/fr/campagnes/Condit0ons-Generales-de-Vente-de-Kingspan-Insulation > lang: fr-fr","","",""
"","986","visual compare","Mobile-iPhone14","2026-03-30","failed","2026-03-30","URL: /pt/pt/aplicacoes/tectosfalsos > lang: pt-pt","migrationCompare/migrationCompare.spec.js","",""
"","7945","functionality of links","Desktop-1200-Chrome","2026-03-29","failed","2026-03-29","URL: /fr/fr/applications/toiture stage only Health Check > lang: fr-fr","","",""
"","37","seo compare","Desktop-1920-Chrome","2026-03-29","failed","2026-03-29","URL: /fr/fr/a-propos-de-nous/CentredeDurabilte > lang: fr-fr","","",""
"","778","visual compare","Desktop-1920-Chrome","2026-03-30","failed","2026-03-30","URL: /pt/pt/contacto > lang: pt-pt","migrationCompare/migrationCompare.spec.js","",""
"","57","seo compare","Tablet-768-Chrome","2026-03-29","failed","2026-03-29","URL: /fr/fr/campagnes/leading-with-passion > lang: fr-fr","","",""
